Date,Open,Close,y_test_pred_binary,signal,Remaining_Money,New_Stock,Borrowed_Stock,Total_Value,BH_Value
2018-08-03,61.11000061035156,61.54999923706055,1.0,buy,0.0,163.63933726268164,0.0,10072.001083671148,10072.001083671148
2018-08-06,61.59000015258789,66.30000305175781,1.0,,0.0,163.63933726268164,0.0,10849.288559903418,10849.288559903418
2018-08-07,66.30999755859375,65.33000183105469,1.0,,0.0,163.63933726268164,0.0,10690.558203003568,10690.558203003568
2018-08-08,65.30999755859375,65.5,1.0,,0.0,163.63933726268164,0.0,10718.376590705648,10718.376590705648
2018-08-09,65.5199966430664,64.97000122070312,1.0,,0.0,163.63933726268164,0.0,10631.647941711477,10631.647941711477
2018-08-10,64.63999938964844,64.9800033569336,1.0,,0.0,163.63933726268164,0.0,10633.284684655442,10633.284684655442
2018-08-13,64.94000244140625,65.69999694824219,1.0,,0.0,163.63933726268164,0.0,10751.103958770558,10751.103958770558
2018-08-14,65.77999877929688,65.95999908447266,0.0,sell,21528.390810768295,0.0,163.63933726268164,10734.740274738102,10793.650536030193
2018-08-15,65.5199966430664,65.41000366210938,0.0,,21528.390810768295,0.0,163.63933726268164,10824.741161151138,10703.649649617157
2018-08-16,65.68000030517578,65.9800033569336,1.0,buy,1.8189894035458565e-12,164.13762240142773,0.0,10829.800877045302,10796.924021918123
2018-08-17,65.87000274658203,65.9000015258789,0.0,sell,21623.49127679898,0.0,164.13762240142776,10806.821710090755,10783.832575304532
2018-08-20,65.73999786376953,65.83999633789062,0.0,,21623.49127679898,0.0,164.13762240142776,10816.670818978902,10774.013366109808
2018-08-21,65.7699966430664,66.51000213623047,0.0,,21623.49127679898,0.0,164.13762240142776,10706.69766024423,10883.652670912294
2018-08-22,66.27999877929688,65.80999755859375,0.0,,21623.49127679898,0.0,164.13762240142776,10821.594747287638,10769.104385746978
2018-08-23,65.5,65.20999908447266,1.0,buy,0.0,165.99201541229715,0.0,10824.339173065668,10670.921033083181
2018-08-24,65.44999694824219,65.41000366210938,1.0,,0.0,165.99201541229715,0.0,10857.538335999272,10703.649649617157
2018-08-27,65.19999694824219,65.80000305175781,1.0,,0.0,165.99201541229715,0.0,10922.275120696582,10767.468891272078
2018-08-28,65.8499984741211,65.58999633789062,0.0,sell,21861.147923232103,0.0,165.99201541229715,10973.73224022045,10733.103531794137
2018-08-29,65.73999786376953,65.9800033569336,1.0,buy,0.0,166.54751354439858,0.0,10988.805502748362,10796.924021918123
2018-08-30,65.56999969482422,66.01000213623047,1.0,,0.0,166.54751354439858,0.0,10993.801724849623,10801.833002280953
2018-08-31,66.12999725341797,66.04000091552734,1.0,,0.0,166.54751354439858,0.0,10998.797946950885,10806.741982643784
2018-09-04,65.73999786376953,65.7699966430664,1.0,,0.0,166.54751354439858,0.0,10953.829406726152,10762.558662440182
2018-09-05,65.62999725341797,65.70999908447266,1.0,,0.0,166.54751354439858,0.0,10943.836962523628,10752.740701714523
2018-09-06,65.5,65.5199966430664,0.0,sell,21817.724274316213,0.0,166.54751354439858,10905.53174597616,10721.648828124513
2018-09-07,65.33000183105469,64.38999938964844,0.0,,21817.724274316213,0.0,166.54751354439858,11093.729978844924,10536.736826466546
2018-09-10,64.9800033569336,65.55999755859375,1.0,buy,0.0,169.2130765939549,0.0,11093.60888838182,10728.194551431307
2018-09-11,65.55999755859375,65.91000366210938,0.0,sell,22187.21777676364,0.0,169.2130765939549,11034.383278779278,10785.469318248497
2018-09-12,66.0,67.91999816894531,0.0,,22187.21777676364,0.0,169.2130765939549,10694.26592434062,11114.38348724876
2018-09-13,68.0,68.4800033569336,0.0,,22187.21777676364,0.0,169.2130765939549,10599.505723572545,11206.022365074827
2018-09-14,68.58000183105469,68.25,0.0,,22187.21777676364,0.0,169.2130765939549,10638.425299226217,11168.38476817802
2018-09-17,68.02999877929688,67.41999816894531,0.0,,22187.21777676364,0.0,169.2130765939549,10778.872462637597,11032.56381861742
2018-09-18,67.43000030517578,68.48999786376953,1.0,buy,0.0,159.82767198009776,0.0,10946.596912488152,11207.657859549727
2018-09-19,68.61000061035156,68.3499984741211,0.0,sell,21931.553344211152,0.0,159.82767198009776,11007.332208249143,11184.748452210477
2018-09-20,68.77999877929688,69.12999725341797,1.0,buy,0.0,159.0376047493438,0.0,10994.26917951231,11312.386935520319
2018-09-21,69.33999633789062,69.06999969482422,1.0,,0.0,159.0376047493438,0.0,10984.727311502751,11302.568974794658
2018-09-24,68.69999694824219,68.91999816894531,0.0,sell,21851.765921871334,0.0,159.0376047493438,10890.89449375311,11278.022824511443
2018-09-25,69.51000213623047,69.44999694824219,1.0,buy,0.0,155.3310508442029,0.0,10787.741007097144,11364.751473505614
2018-09-26,69.47000122070312,68.79000091552734,1.0,,0.0,155.3310508442029,0.0,10685.223129782542,11256.750160116157
2018-09-27,69.08000183105469,70.48999786376953,1.0,,0.0,155.3310508442029,0.0,10949.285442184939,11534.93653407509
2018-09-28,70.44999694824219,70.18000030517578,1.0,,0.0,155.3310508442029,0.0,10901.133195649434,11484.20873903376
2018-10-01,70.70999908447266,70.25,1.0,,0.0,155.3310508442029,0.0,10912.006321805255,11495.663442703384
2018-10-02,70.16000366210938,69.72000122070312,1.0,,0.0,155.3310508442029,0.0,10829.681054470926,11408.934793709213
2018-10-03,69.81999969482422,68.9800033569336,1.0,,0.0,155.3310508442029,0.0,10714.73640866914,11287.842033706167
2018-10-04,68.52999877929688,68.94999694824219,1.0,,0.0,155.3310508442029,0.0,10710.075481675043,11282.931804874273
2018-10-05,68.94999694824219,68.58999633789062,0.0,sell,21420.150963350086,0.0,155.3310508442029,10765.994754785506,11224.021543582183
2018-10-08,68.58999633789062,68.81999969482422,1.0,buy,0.0,156.96158812649088,0.0,10802.096446964228,11261.659140478987
2018-10-09,68.7699966430664,68.45999908447266,1.0,,0.0,156.96158812649088,0.0,10745.59017943694,11202.748879186896
2018-10-10,68.54000091552734,66.62999725341797,0.0,sell,21516.29478778462,0.0,156.96158812649088,11057.94460202441,10903.288592363615
2018-10-11,66.75,66.20999908447266,1.0,buy,0.0,165.37990682159332,0.0,10949.803479247867,10834.560370345864
2018-10-12,67.2699966430664,68.37999725341797,1.0,,0.0,165.37990682159332,0.0,11308.677574231071,11189.657432573307
2018-10-15,68.12000274658203,67.62000274658203,0.0,sell,22531.359413832834,0.0,165.37990682159332,11348.369660327213,11065.292435151396
2018-10-16,67.68000030517578,68.94000244140625,1.0,buy,1.8189894035458565e-12,167.5302485010532,0.0,11549.535740672005,11281.296310399373
2018-10-17,68.95999908447266,69.08000183105469,0.0,sell,23105.771566508214,0.0,167.53024850105322,11532.781693298411,11304.205717738623
2018-10-18,69.2300033569336,68.7699966430664,1.0,buy,0.0,166.22347742873328,0.0,11431.187984772812,11253.476674228228
2018-10-19,69.52999877929688,69.75,1.0,,0.0,166.22347742873328,0.0,11594.087550654145,11413.843774072044
2018-10-22,69.8499984741211,69.51000213623047,0.0,sell,23221.419289520243,0.0,166.22347742873328,11667.225018357336,11374.570682700338
2018-10-23,69.08000183105469,69.27999877929688,1.0,buy,0.0,169.92908009886554,0.0,11772.686461816445,11336.933085803534
2018-10-24,69.05000305175781,65.70999908447266,0.0,sell,23467.20699881813,0.0,169.92908009886554,12301.167301096393,10752.740701714523
2018-10-25,66.33999633789062,66.31999969482422,0.0,,23467.20699881813,0.0,169.92908009886554,12197.510458519606,10852.560797322283
2018-10-26,64.55000305175781,65.11000061035156,0.0,,23467.20699881813,0.0,169.92908009886554,12403.124489864513,10654.557349050727
2018-10-29,66.13999938964844,64.91000366210938,1.0,buy,0.0,184.88203594857396,0.0,12000.693630480173,10621.829980985816
2018-10-30,64.52999877929688,63.91999816894531,1.0,,0.0,184.88203594857396,0.0,11817.65939930373,10459.826138198034
2018-10-31,67.37000274658203,68.55000305175781,1.0,,0.0,184.88203594857396,0.0,12673.664128489942,11217.477068744452
2018-11-01,68.95999908447266,68.87999725341797,1.0,,0.0,184.88203594857396,0.0,12734.674128344097,11271.477101204648
2018-11-02,69.38999938964844,68.51000213623047,0.0,sell,25657.928723257013,0.0,184.88203594857396,12991.660045469573,11210.931345437657
2018-11-05,68.95999908447266,68.88999938964844,1.0,buy,0.0,187.18770105689345,0.0,12895.360611559083,11273.113844148613
2018-11-06,68.8499984741211,68.7699966430664,1.0,,0.0,187.18770105689345,0.0,12872.89757330588,11253.476674228228
2018-11-07,69.23999786376953,70.33999633789062,0.0,sell,25921.752042606462,0.0,187.18770105689345,12754.969835766413,11510.390383791875
2018-11-08,70.06999969482422,69.75,0.0,,25921.752042606462,0.0,187.18770105689345,12865.409893888143,11413.843774072044
2018-11-09,69.41999816894531,68.68000030517578,1.0,buy,0.0,186.2169766488232,0.0,12789.382013070088,11238.749733139737
