Date,Open,Close,y_test_pred_binary,signal,Remaining_Money,New_Stock,Borrowed_Stock,Total_Value,BH_Value
2018-08-03,91.88700103759766,91.16449737548828,1.0,buy,0.0,108.82932174386966,0.0,9921.370416495174,9921.370416495174
2018-08-06,91.29049682617188,92.3874969482422,1.0,,0.0,108.82932174386966,0.0,10054.468630491026,10054.468630491026
2018-08-07,92.72650146484376,93.1240005493164,1.0,,0.0,108.82932174386966,0.0,10134.62181785785,10134.62181785785
2018-08-08,93.0500030517578,94.32599639892578,1.0,,0.0,108.82932174386966,0.0,10265.434210909785,10265.434210909785
2018-08-09,94.0999984741211,94.9260025024414,0.0,sell,20481.678020075535,0.0,108.82932174386964,10150.945551877965,10330.732468197572
2018-08-10,94.42549896240234,94.31500244140624,1.0,buy,0.0,108.07901599476153,0.0,10193.472657410717,10264.23774596965
2018-08-13,94.9250030517578,94.80999755859376,0.0,sell,20518.801846267437,0.0,108.07901599476153,10271.83060366888,10318.107728839697
2018-08-14,95.96949768066406,95.98249816894533,1.0,buy,0.0,105.726436176544,0.0,10147.887466724249,10445.710175008531
2018-08-15,95.47750091552734,94.13099670410156,1.0,,0.0,105.726436176544,0.0,9952.134815270667,10244.212526381803
2018-08-16,95.1969985961914,94.32599639892578,0.0,sell,20129.67879255756,0.0,105.726436176544,10156.927354497613,10265.434210909785
2018-08-17,94.29000091552734,94.11100006103516,0.0,,20129.67879255756,0.0,105.726436176544,10179.658151093798,10242.036305279731
2018-08-20,94.52850341796876,93.83550262451172,0.0,,20129.67879255756,0.0,105.726436176544,10208.785513233193,10212.054106120711
2018-08-21,94.0,94.1709976196289,1.0,buy,0.0,108.41908289321728,0.0,10209.933197059514,10248.565798887777
2018-08-22,93.83200073242188,95.24500274658205,1.0,,0.0,108.41908289321728,0.0,10326.375847946387,10365.449048403527
2018-08-23,95.3584976196289,95.1449966430664,1.0,,0.0,108.41908289321728,0.0,10315.533277919496,10354.565451987672
2018-08-24,95.52549743652344,95.26950073242188,0.0,sell,20713.5736499725,0.0,108.41908289321728,10384.541752868627,10368.115147586566
2018-08-27,95.75,96.38400268554688,1.0,buy,0.0,107.91066802033362,0.0,10400.862116270993,10489.405639227378
2018-08-28,96.8864974975586,96.64099884033205,1.0,,0.0,107.91066802033362,0.0,10428.594743012518,10517.37435644343
2018-08-29,97.67250061035156,99.90499877929688,1.0,,0.0,107.91066802033362,0.0,10780.815156844541,10872.593255973004
2018-08-30,99.87100219726562,100.11900329589844,1.0,,0.0,107.91066802033362,0.0,10803.908527190384,10895.883222364877
2018-08-31,100.3499984741211,100.635498046875,0.0,sell,21657.670742363734,0.0,107.91066802033363,10798.026921566472,10952.092995797926
2018-09-04,101.3249969482422,101.97550201416016,1.0,buy,0.0,105.83393000246902,0.0,10792.468142133264,11097.924718691664
2018-09-05,101.90550231933594,99.74099731445312,1.0,,0.0,105.83393000246902,0.0,10555.981728154282,10854.745087789059
2018-09-06,100.32550048828124,97.91549682617188,0.0,sell,21235.683992278857,0.0,105.83393000246903,10872.902155020804,10656.077107806306
2018-09-07,96.9355010986328,97.60350036621094,1.0,buy,0.0,113.23631517706892,0.0,11052.260729853424,10622.12274468227
2018-09-10,98.5500030517578,96.95050048828124,0.0,sell,22318.8784125399,0.0,113.23631517706892,11340.560982674311,10551.05721086835
2018-09-11,96.41349792480467,99.35749816894533,1.0,buy,0.0,118.25490641461067,0.0,11749.51164755848,10813.009135894092
2018-09-12,99.6999969482422,99.5,1.0,,0.0,118.25490641461067,0.0,11766.363188253761,10828.517513515031
2018-09-13,100.0,99.49349975585938,1.0,,0.0,118.25490641461067,0.0,11765.59450249124,10827.810096354036
2018-09-14,99.64649963378906,98.5094985961914,1.0,,0.0,118.25490641461067,0.0,11649.231537442836,10720.721917552191
2018-09-17,97.73650360107422,95.40149688720705,1.0,,0.0,118.25490641461067,0.0,11281.69508621044,10382.480199584636
2018-09-18,95.93250274658205,97.05249786376952,1.0,,0.0,118.25490641461067,0.0,11476.934052184266,10562.157516062396
2018-09-19,97.0250015258789,96.3209991455078,0.0,sell,22947.364950640535,0.0,118.25490641461067,11556.934210926715,10482.549006697462
2018-09-20,96.9290008544922,97.21499633789062,0.0,,22947.364950640535,0.0,118.25490641461067,11451.214656606558,10579.84211478541
2018-09-21,97.71099853515624,95.75050354003906,1.0,buy,0.0,116.59444826048372,0.0,11163.977130914347,10420.462356896442
2018-09-24,95.1894989013672,96.71800231933594,1.0,,0.0,116.59444826048372,0.0,11276.782117279157,10525.754592835343
2018-09-25,97.1449966430664,98.72750091552734,1.0,,0.0,116.59444826048372,0.0,11511.078497382312,10744.446962104112
2018-09-26,98.4250030517578,98.74250030517578,1.0,,0.0,116.59444826048372,0.0,11512.827342942615,10746.079335506123
2018-09-27,99.66200256347656,100.64900207519533,1.0,,0.0,116.59444826048372,0.0,11735.11486492568,10953.562630040837
2018-09-28,100.22049713134766,100.1500015258789,0.0,sell,23370.307134841743,0.0,116.59444826048372,11693.37296364529,10899.256738708913
2018-10-01,101.09950256347656,100.21800231933594,0.0,,23370.307134841743,0.0,116.59444826048372,11685.444448650893,10906.657218938886
2018-10-02,99.99949645996094,98.56549835205078,1.0,buy,0.0,117.1097998823961,0.0,11542.98578731731,10726.816333000188
2018-10-03,99.08499908447266,97.63800048828124,0.0,sell,23207.64882825999,0.0,117.10979988239612,11773.28213016008,10625.87736956726
2018-10-04,97.4499969482422,95.47100067138672,0.0,,23207.64882825999,0.0,117.10979988239612,12027.059045061786,10390.044249275541
2018-10-05,95.89949798583984,94.48249816894533,1.0,buy,0.0,124.88989058195588,0.0,11799.908858229428,10282.466192392727
2018-10-08,93.6999969482422,93.22100067138672,1.0,,0.0,124.88989058195588,0.0,11642.360573789923,10145.178275351835
2018-10-09,92.99949645996094,93.51599884033205,1.0,,0.0,124.88989058195588,0.0,11679.202862831382,10177.282725993839
2018-10-10,92.89450073242188,87.76249694824219,1.0,,0.0,124.88989058195588,0.0,10960.648641065203,9551.133017425627
2018-10-11,86.19999694824219,85.96800231933594,0.0,sell,21531.016374061797,0.0,124.8898905819559,10794.481970850602,9355.839384088744
2018-10-12,90.4000015258789,89.43049621582031,1.0,buy,0.0,113.28506528790756,0.0,10131.139602539173,9732.660246385427
2018-10-15,89.75,88.04750061035156,0.0,sell,20334.669219179406,0.0,113.28506528790756,10360.20236409865,9582.14977266751
2018-10-16,89.17500305175781,90.9980010986328,1.0,buy,0.0,114.74598066985955,0.0,10441.654875059578,9903.250739612113
2018-10-17,92.1395034790039,91.58650207519533,1.0,,0.0,114.74598066985955,0.0,10509.182996740414,9967.296901737018
2018-10-18,91.07450103759766,88.53600311279297,1.0,,0.0,114.74598066985955,0.0,10159.150501767166,9635.31316867839
2018-10-19,89.25800323486328,88.20149993896484,0.0,sell,20483.994227635765,0.0,114.74598066985955,10363.226620586687,9598.909415149505
2018-10-22,89.19999694824219,89.46499633789062,0.0,,20483.994227635765,0.0,114.74598066985955,10218.245487219112,9736.41487127042
2018-10-23,87.11199951171875,88.43499755859375,0.0,,20483.994227635765,0.0,114.74598066985955,10336.43370723829,9624.320802722526
2018-10-24,88.68499755859375,83.20999908447266,1.0,buy,0.0,116.22875904417258,0.0,9671.394933654992,9055.687762671174
2018-10-25,85.16699981689453,89.1084976196289,0.0,sell,19797.70940046585,0.0,116.22875904417259,9440.739301845775,9697.617357559438
2018-10-26,82.47949981689453,82.1405029296875,0.0,,19797.70940046585,0.0,116.22875904417259,10250.620677684048,8939.295221538228
2018-10-29,83.0,76.94400024414062,0.0,,19797.70940046585,0.0,116.22875904417259,10854.603736194873,8373.763358829965
2018-10-30,74.30799865722656,76.52100372314453,1.0,buy,0.0,150.19894400553798,0.0,11493.373953460148,8327.728934349943
2018-10-31,78.49949645996094,79.90049743652344,0.0,sell,23581.0829465052,0.0,150.19894400553798,11580.112606022187,8695.516943014642
2018-11-01,81.17649841308594,83.27649688720703,1.0,buy,1.8189894035458565e-12,140.2925579376383,0.0,11683.072764392049,9062.924673440213
2018-11-02,83.92949676513672,83.27649688720703,1.0,,1.8189894035458565e-12,140.2925579376383,0.0,11683.072764392049,9062.924673440213
2018-11-05,82.87850189208984,81.38999938964844,1.0,,1.8189894035458565e-12,140.2925579376383,0.0,11418.4112049166,8857.618430309405
2018-11-06,80.9175033569336,82.1405029296875,1.0,,1.8189894035458565e-12,140.2925579376383,0.0,11523.701266289934,8939.295221538228
2018-11-07,83.6500015258789,87.77449798583984,1.0,,1.8189894035458565e-12,140.2925579376383,0.0,12314.108844125554,9552.439082207604
2018-11-08,87.75,87.74549865722656,1.0,,1.8189894035458565e-12,140.2925579376383,0.0,12310.040454135922,9549.283104943592
2018-11-09,86.625,85.62149810791016,1.0,,1.8189894035458565e-12,140.2925579376383,0.0,12012.058984011375,9318.129565777881
2018-11-12,84.91200256347656,81.84249877929688,0.0,sell,23825.044078474857,0.0,140.29255793763832,12343.150576719258,8906.86363197436
2018-11-13,82.4645004272461,81.55850219726562,1.0,buy,0.0,148.62017366248077,0.0,12121.238760209437,8875.956476574322
2018-11-14,82.81600189208984,79.95050048828125,1.0,,0.0,148.62017366248077,0.0,11882.257266970613,8700.958741222568
2018-11-15,79.05049896240234,80.97200012207031,1.0,,0.0,148.62017366248077,0.0,12034.072719940503,8812.127853529442
2018-11-16,79.375,79.67050170898438,0.0,sell,23593.452568918823,0.0,148.62017366248077,11752.808769152594,8670.486663982578
2018-11-19,78.85050201416016,75.614501953125,1.0,buy,0.0,150.59735782110897,0.0,11387.344207099708,8229.074961559101
2018-11-20,71.875,74.77300262451172,0.0,sell,21648.370186784414,0.0,150.59735782110897,10387.753555182102,8137.4951603781965
2018-11-21,77.14949798583984,75.83650207519531,1.0,buy,0.0,130.00550742057794,0.0,9859.162933287478,8253.23508427107
2018-11-23,75.8499984741211,75.10299682617188,0.0,sell,19721.835078956352,0.0,130.00550742057794,9958.031867763822,8173.408205524281
2018-11-26,76.94999694824219,79.06649780273438,1.0,buy,0.0,126.2886558166419,0.0,9985.201727636795,8604.753328534742
2018-11-27,78.79949951171875,79.07099914550781,1.0,,0.0,126.2886558166419,0.0,9985.770196165022,8605.243206615713
2018-11-28,80.69599914550781,83.88749694824219,1.0,,0.0,126.2886558166419,0.0,10594.039229416156,9129.419395668134
2018-11-29,83.74949645996094,83.67849731445312,1.0,,0.0,126.2886558166419,0.0,10567.644946598764,9106.674107278151
2018-11-30,83.9749984741211,84.50849914550781,1.0,,0.0,126.2886558166419,0.0,10672.464762168012,9197.002643598003
2018-12-03,88.4729995727539,88.61799621582031,1.0,,0.0,126.2886558166419,0.0,11191.447623260206,9644.236422468532
2018-12-04,87.80000305175781,83.41999816894531,1.0,,0.0,126.2886558166419,0.0,10534.999436982833,9078.541820601167
2018-12-06,80.74349975585938,84.95950317382812,0.0,sell,20393.97610019767,0.0,126.2886558166419,9664.554645525193,9246.085106103856
2018-12-07,85.25350189208984,81.45649719238281,0.0,,20393.97610019767,0.0,126.2886558166419,10106.944562239578,8864.855341078444
2018-12-10,81.19200134277344,82.05149841308594,0.0,,20393.97610019767,0.0,126.2886558166419,10031.80265786772,8929.60892036434
2018-12-11,83.9000015258789,82.16200256347656,1.0,buy,0.0,116.78614429414426,0.0,9595.383486874025,8941.635012101235
2018-12-12,83.44999694824219,83.177001953125,1.0,,0.0,116.78614429414426,0.0,9713.921352051975,9052.096707247116
2018-12-13,84.0,82.91899871826172,1.0,,0.0,116.78614429414426,0.0,9683.790149036877,9024.01839018922
2018-12-14,81.9000015258789,79.59549713134766,0.0,sell,19129.57079178386,0.0,116.78614429414426,9833.919578638146,8662.323966670689
2018-12-17,78.30000305175781,76.04550170898438,0.0,,19129.57079178386,0.0,116.78614429414426,10248.509856277815,8275.98037266105
2018-12-18,77.0,77.5739974975586,1.0,buy,0.0,131.649840014737,0.0,10212.604359857198,8442.325532619943
2018-12-19,77.15249633789062,74.75399780273438,0.0,sell,20314.227599241767,0.0,131.649840014737,10472.875748049784,8135.426878514305
2018-12-20,74.19999694824219,73.04149627685547,0.0,,20314.227599241767,0.0,131.649840014737,10698.326299956736,7949.056498967561
2018-12-21,73.24949645996094,68.87249755859375,1.0,buy,0.0,145.67940565926938,0.0,10033.30451060542,7495.347196108077
2018-12-24,67.30000305175781,67.197998046875,1.0,,0.0,145.67940565926938,0.0,9789.364416961494,7313.112549987284
2018-12-26,68.44450378417969,73.54499816894531,1.0,,0.0,145.67940565926938,0.0,10713.991622464007,8003.852268380454
2018-12-27,72.70999908447266,73.08200073242188,1.0,,0.0,145.67940565926938,0.0,10646.542431089509,7953.464571394458
2018-12-28,73.6675033569336,73.9010009765625,0.0,sell,21463.676210880636,0.0,145.67940565926938,10697.822310989925,8042.595812472346
2018-12-31,75.54000091552734,75.09850311279297,1.0,buy,0.0,138.457157098817,0.0,10397.925243373973,8172.919157745143
2019-01-02,73.26000213623047,76.95649719238281,1.0,,0.0,138.457157098817,0.0,10655.177821540416,8375.123393231032
2019-01-03,76.00050354003906,75.01399993896484,0.0,sell,21045.627316464772,0.0,138.457157098817,10659.402142304869,8163.722734652224
2019-01-04,76.5,78.76950073242188,1.0,buy,1.8189894035458565e-12,136.64908233209505,0.0,10763.77999084274,8572.431338812718
2019-01-07,80.1155014038086,81.47550201416016,1.0,,1.8189894035458565e-12,136.64908233209505,0.0,11133.55258278175,8866.923622942335
2019-01-08,83.2344970703125,82.8290023803711,1.0,,1.8189894035458565e-12,136.64908233209505,0.0,11318.507165760628,9014.224149777152
2019-01-09,82.64900207519531,82.97100067138672,0.0,sell,22587.820578477724,0.0,136.64908233209508,11249.909476557084,9029.67772747717
2019-01-10,82.05049896240234,82.81099700927734,0.0,,22587.820578477724,0.0,136.64908233209508,11271.773830154105,9012.264637453272
2019-01-11,82.02749633789062,82.02799987792969,0.0,,22587.820578477724,0.0,136.64908233209508,11378.769669621424,8927.05159072131
2019-01-14,80.75,80.8604965209961,1.0,buy,0.0,143.07624990911512,0.0,11569.21660801317,8799.992992252537
2019-01-15,81.5999984741211,83.72799682617188,1.0,,0.0,143.07624990911512,0.0,11979.487798290966,9112.061105565157
2019-01-16,84.21099853515625,84.18900299072266,1.0,,0.0,143.07624990911512,0.0,12045.446831499876,9162.23209377296
2019-01-17,84.0,84.66100311279297,1.0,,0.0,143.07624990911512,0.0,12112.97883892234,9213.599546920896
2019-01-18,85.5999984741211,84.80999755859375,1.0,,0.0,143.07624990911512,0.0,12134.296405484802,9229.814511400999
2019-01-22,84.05000305175781,81.6084976196289,0.0,sell,24051.11848299038,0.0,143.07624990911512,12374.880682856929,8881.397444480415
2019-01-23,82.80000305175781,82.0009994506836,0.0,,24051.11848299038,0.0,143.07624990911512,12318.722992787161,8924.113152537324
2019-01-24,82.05349731445312,82.74649810791016,0.0,,24051.11848299038,0.0,143.07624990911512,12212.059840598904,9005.245265764255
2019-01-25,83.5250015258789,83.52850341796875,1.0,buy,1.8189894035458565e-12,144.87487901769512,0.0,12101.181827207358,9090.350373258038
