Date,Open,Close,y_test_pred_binary,signal,Remaining_Money,New_Stock,Borrowed_Stock,Total_Value,BH_Value
2018-11-21,3.865499973297119,3.6177499294281006,0.0,sell,32018.5121915861,0.0,4141.574493955509,17035.331358357333,5751.361281905696
2018-11-23,3.582750082015991,3.625,1.0,buy,0.0,4795.27888923372,0.0,17382.885973472235,5762.887168435089
2018-11-26,3.7472500801086426,3.826250076293945,1.0,,0.0,4795.27888923372,0.0,18347.936215781265,6082.826887696042
2018-11-27,3.799999952316284,3.843250036239624,0.0,sell,36444.119100862845,0.0,4795.27888923372,18014.663336036247,6109.852777636695
2018-11-28,3.961999893188477,4.0017499923706055,1.0,buy,0.0,4403.136073754557,0.0,17620.249749554037,6361.829981329041
2018-11-29,4.0,3.934000015258789,1.0,,0.0,4403.136073754557,0.0,17321.937381336953,6254.123643740226
2018-11-30,3.943749904632568,4.085750102996826,1.0,,0.0,4403.136073754557,0.0,17990.113666851725,6495.370163308345
2018-12-03,4.315000057220459,4.250999927520752,1.0,,0.0,4403.136073754557,0.0,18717.731130394634,6758.0780511249195
2018-12-04,4.205999851226807,3.9277501106262207,0.0,sell,37039.17934228611,0.0,4403.136073754557,19744.761141494342,6244.1877829923715
2018-12-06,3.78600001335144,3.9572501182556152,1.0,buy,0.0,5380.059703230745,0.0,21290.241896832136,6291.085773457523
2018-12-07,3.9614999294281006,3.690249919891357,0.0,sell,42626.21226933513,0.0,5380.059703230745,22772.44738047715,5866.619010113245
2018-12-10,3.6449999809265137,3.796499967575073,0.0,,42626.21226933513,0.0,5380.059703230745,22200.81578046765,6035.531296028308
2018-12-11,3.888999938964844,3.704750061035156,1.0,buy,0.0,5580.6533176805315,0.0,20674.925719292994,5889.6707831720305
2018-12-12,3.7105000019073486,3.722500085830689,1.0,,0.0,5580.6533176805315,0.0,20773.9824540571,5917.889097691639
2018-12-13,3.7697501182556152,3.722249984741211,1.0,,0.0,5580.6533176805315,0.0,20772.586726582347,5917.491496489056
2018-12-14,3.6802499294281006,3.661250114440918,1.0,,0.0,5580.6533176805315,0.0,20432.167598012933,5820.516222053259
2018-12-17,3.63100004196167,3.5894999504089355,0.0,sell,40526.70486134308,0.0,5580.6533176805315,20494.950054279354,5706.450539395873
2018-12-18,3.6337499618530273,3.673500061035156,1.0,buy,0.0,5572.206754363756,0.0,20469.501852255766,5839.990721375177
2018-12-19,3.63949990272522,3.46274995803833,0.0,sell,40560.09188094341,0.0,5572.206754363756,21264.933176089413,5504.948220876754
2018-12-20,3.4542500972747803,3.377500057220459,1.0,buy,0.0,6169.876400803024,0.0,20838.757896755375,5369.421169970913
2018-12-21,3.404249906539917,3.2392499446868896,1.0,,0.0,6169.876400803024,0.0,19985.77179002614,5149.63639768004
2018-12-24,3.16225004196167,3.177000045776367,1.0,,0.0,6169.876400803024,0.0,19601.697607785736,5050.673875288914
2018-12-26,3.2235000133514404,3.327500104904175,1.0,,0.0,6169.876400803024,0.0,20530.264370917856,5289.933146901705
2018-12-27,3.274749994277954,3.279249906539917,0.0,sell,40409.60541645077,0.0,6169.876400803024,20177.03880575462,5213.226816135407
2018-12-28,3.299999952316284,3.341249942779541,1.0,buy,0.0,6075.458750819356,0.0,20299.626203534637,5311.792116352743
2018-12-31,3.384999990463257,3.337500095367432,1.0,,0.0,6075.458750819356,0.0,20276.8441602605,5305.8307515155475
2019-01-02,3.2660000324249268,3.4054999351501465,1.0,,0.0,6075.458750819356,0.0,20689.974381922708,5413.9343112781535
2019-01-03,3.344749927520752,3.1997499465942383,1.0,,0.0,6075.458750819356,0.0,19439.94881346973,5086.8408026010475
2019-01-04,3.2734999656677246,3.404750108718872,1.0,,0.0,6075.458750819356,0.0,20685.418842369225,5412.742265727989
2019-01-07,3.462500095367432,3.5850000381469727,1.0,,0.0,6075.458750819356,0.0,21780.51985344775,5699.296749979721
2019-01-08,3.667249917984009,3.4957499504089355,0.0,sell,44560.45121131503,0.0,6075.458750819356,23322.16658442673,5557.410354005311
2019-01-09,3.547499895095825,3.564500093460083,1.0,buy,0.0,6485.627233402035,0.0,23118.018879608815,5666.706717375665
2019-01-10,3.5450000762939453,3.630749940872192,0.0,sell,45983.09807444861,0.0,6485.627233402035,22435.407380255092,5772.028205806569
2019-01-11,3.60824990272522,3.720750093460083,1.0,buy,0.0,6258.251188022915,0.0,23285.388692732937,5915.107026359936
2019-01-14,3.6679999828338623,3.760999917984009,1.0,,0.0,6258.251188022915,0.0,23537.28220487751,5979.094666989094
2019-01-15,3.7939999103546143,3.7467501163482666,1.0,,0.0,6258.251188022915,0.0,23448.103366861535,5956.440874161683
2019-01-16,3.774250030517578,3.720999956130981,1.0,,0.0,6258.251188022915,0.0,23286.952396089928,5915.504248533726
2019-01-17,3.6877501010894775,3.7929999828338623,1.0,,0.0,6258.251188022915,0.0,23737.546648740914,6029.967153364903
2019-01-18,3.843250036239624,3.923249959945679,0.0,sell,48104.04821033148,0.0,6258.251188022915,23551.364487590577,6237.033614547428
2019-01-22,3.892750024795532,3.719249963760376,1.0,buy,0.0,6099.092053624913,0.0,22684.047899415655,5912.722177202025
2019-01-23,3.775000095367432,3.732249975204468,1.0,,0.0,6099.092053624913,0.0,22763.33616591135,5933.389101102898
2019-01-24,3.817500114440918,3.946000099182129,1.0,,0.0,6099.092053624913,0.0,24067.017848524843,6273.200920888352
2019-01-25,3.885999917984009,4.003749847412109,0.0,sell,47402.142440326665,0.0,6099.092053624913,22982.90356127351,6365.009274834535
