y_test_binary,y_pred_binary
0,1
0,1
1,1
1,1
1,1
0,1
0,1
1,1
0,1
0,0
0,0
1,1
0,1
1,0
0,1
1,1
1,0
0,0
1,1
0,0
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,0
1,1
0,0
0,1
1,1
1,0
1,1
0,1
1,1
1,1
1,0
1,1
0,1
1,1
0,0
1,1
0,1
0,0
0,0
0,0
0,1
0,1
1,1
0,0
1,1
0,0
0,1
1,1
1,0
1,1
0,0
1,0
0,1
0,1
1,1
1,0
0,1
0,1
0,0
1,1
1,1
0,1
0,1
0,1
0,1
1,0
1,1
0,1
0,1
1,0
1,0
0,1
1,1
0,1
1,1
1,1
1,0
1,1
0,0
1,0
0,0
1,0
1,1
1,1
0,1
0,0
0,0
1,1
0,0
0,0
0,0
0,1
1,1
1,1
0,0
0,1
1,1
0,1
1,0
0,1
1,1
0,1
0,1
0,0
0,1
1,1
1,1
1,1
1,0
0,0
1,0
0,0
1,1
