Date,Mamba,BH_Value,Ensemble_Mamba
2018-08-03,10133.3106607513,10133.3106607513,10133.3106607513
2018-08-06,10204.7578785616,10227.41140426,10227.41140426
2018-08-07,10480.0908161884,9952.07846663325,10340.6810270174
2018-08-08,10543.6965823542,9888.47270046738,10404.2867931833
2018-08-09,10525.3991970954,9906.77008572616,10385.9894079245
2018-08-10,10597.7172441406,9834.45203868104,10458.3074549697
2018-08-13,10622.6832341772,9847.52112475506,10483.0139296377
2018-08-14,10630.2025593824,9854.49174716464,10490.4343891516
2018-08-15,10663.0987108022,9884.9873892626,10394.8989804404
2018-08-16,10738.2905286894,9954.69228384805,10414.4897284565
2018-08-17,10624.5634240196,10016.555062034,10304.1919338247
2018-08-20,10635.8424118274,10006.0991284196,10315.1308167277
2018-08-21,10456.6221054201,9908.51307370612,10141.3146925296
2018-08-22,10589.0304893574,9779.55921814957,10269.7304539389
2018-08-23,10572.7970424832,9752.5488872564,10253.9865079844
2018-08-24,10540.6813249285,9771.71776650516,10222.8392029545
2018-08-27,10484.2086044986,9794.3719569587,10168.069352457
2018-08-28,10368.5562974305,9686.32930387573,10055.9044076909
2018-08-29,10310.7308554716,9763.00482087076,9999.82262542627
2018-08-30,10335.8272524863,9755.1627044712,10024.1622694536
2018-08-31,10296.1301484736,9759.51950966597,10028.6392139774
2018-09-04,10238.0383041467,9671.51722982174,9938.2102626657
2018-09-05,10433.5758656279,9856.2347351446,10128.0213712509
2018-09-06,10468.6247524383,9889.34419445736,10162.0438271402
2018-09-07,10398.5262751234,9823.12461107669,10113.6956952434
2018-09-10,10475.0811448427,9895.44332287696,10155.704361581
2018-09-11,10452.9450428411,9874.53212040338,10134.2431714921
2018-09-12,10500.9067144604,9919.83983655532,10180.7425303913
2018-09-13,10606.0540785858,10019.1688792488,10282.6840361126
2018-09-14,10626.3457986265,9982.57410873121,10302.3570779603
2018-09-17,10549.7909289071,10054.8928205315,10228.1363045306
2018-09-18,10405.4738439452,9931.16726415967,10088.2193311982
2018-09-19,10386.30189006,9912.86921414575,10069.6319147381
2018-09-20,10518.6758527011,10039.2092524875,10197.9699019255
2018-09-21,10554.2797159106,10012.1989215943,10232.4882320354
2018-09-24,10795.2915002186,9782.17303536438,10466.1517612477
2018-09-25,10822.6787122625,9756.03419846119,10492.7039592651
2018-09-26,10721.2526789428,9715.08262274887,10394.3703239719
2018-09-27,10751.0604112795,9675.87403501651,10352.4202349613
2018-09-28,10678.9443618695,9741.22212440719,10422.337524136
2018-10-01,10783.7534018185,9646.24922215339,10320.7240273597
2018-10-02,10639.4546210674,9472.85914443487,10135.2103525621
2018-10-03,10852.7917629034,9368.30180255669,10338.4366348793
2018-10-04,10941.8449397496,9289.01313310199,10423.2692425688
2018-10-05,10953.5885357975,9278.55719948763,10434.4562648815
2018-10-08,10787.2242849118,9426.67993429294,10275.9766493443
2018-10-09,10683.9361149189,9420.58080587335,10177.5836990387
2018-10-10,10656.2671313244,9352.61823451272,10151.2260539376
2018-10-11,10262.5951615448,9153.96014912585,9776.21169787052
2018-10-12,10284.0855814533,9173.12902837461,9800.40654435189
2018-10-15,10318.2745470971,9203.62467047257,9847.94015771599
2018-10-16,10490.1971611016,9356.97503970749,10012.0260818448
2018-10-17,10580.0655122976,9437.13520315216,10097.79799464
2018-10-18,10650.3982698932,9404.0257438394,10164.9247981348
2018-10-19,10751.6532020623,9609.65445163584,10261.5642612663
